"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"LATITUDE";"LONGITUDE";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"OER-00074";"OER-00074-03";"Alta Potência Rápido";"Disponível";"Oeiras";"RUA LUCIANO CORDEIRO (PAÇO DE ARCOS)";"38.696818";"-9.293388";"GLP - Galp";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"22";"Disponível";"2026-01-31T15:18:00.018Z"
"OER-00075";"OER-00075-01";"Alta Potência Rápido";"Disponível";"Oeiras";"JUNTO À MARGINAL, POR TRÁS DO COLÉGIO MILITAR";"38.676291";"-9.320643";"GLP - Galp";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"50";"Fora de Serviço";"2026-01-31T15:38:29.620Z"
"OER-00075";"OER-00075-02";"Alta Potência Rápido";"Disponível";"Oeiras";"JUNTO À MARGINAL, POR TRÁS DO COLÉGIO MILITAR";"38.676291";"-9.320643";"GLP - Galp";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"50";"Em uso";"2026-01-31T15:38:29.620Z"
"OER-00075";"OER-00075-03";"Alta Potência Rápido";"Disponível";"Oeiras";"JUNTO À MARGINAL, POR TRÁS DO COLÉGIO MILITAR";"38.676291";"-9.320643";"GLP - Galp";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"43";"Disponível";"2026-01-31T15:38:29.620Z"
"OER-00076";"OER-00076-01";"Alta Potência Rápido";"Em uso";"Oeiras";"AV MARGINAL (PISCINAS OCEANICAS) (OEIRAS)";"38.676863";"-9.323386";"GLP - Galp";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"50";"Fora de Serviço";"2026-01-31T15:30:32.536Z"
"OER-00076";"OER-00076-02";"Alta Potência Rápido";"Em uso";"Oeiras";"AV MARGINAL (PISCINAS OCEANICAS) (OEIRAS)";"38.676863";"-9.323386";"GLP - Galp";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"50";"Em uso";"2026-01-31T15:30:32.536Z"
"OER-00076";"OER-00076-03";"Alta Potência Rápido";"Em uso";"Oeiras";"AV MARGINAL (PISCINAS OCEANICAS) (OEIRAS)";"38.676863";"-9.323386";"GLP - Galp";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"43";"Em uso";"2026-01-31T15:30:32.536Z"
"OER-00077";"OER-00077-01";"Alta Potência Rápido";"Disponível";"Oeiras";"R FUNDIÇÃO OEIRAS - P ESTACIONAMENTO OEIRAS";"38.688004";"-9.317585";"GLP - Galp";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"50";"Disponível";"2026-01-31T15:31:44.457Z"
"OER-00077";"OER-00077-02";"Alta Potência Rápido";"Disponível";"Oeiras";"R FUNDIÇÃO OEIRAS - P ESTACIONAMENTO OEIRAS";"38.688004";"-9.317585";"GLP - Galp";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"50";"Disponível";"2026-01-31T15:31:44.457Z"
"OER-00077";"OER-00077-03";"Alta Potência Rápido";"Disponível";"Oeiras";"R FUNDIÇÃO OEIRAS - P ESTACIONAMENTO OEIRAS";"38.688004";"-9.317585";"GLP - Galp";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"22";"Disponível";"2026-01-31T15:31:44.457Z"
